This file gives a relative spectral representation for Illuminant C.  It
was taken from Table II(3.3.4), on p. 759 of [Wyszecki1982].  The first column is
the wavelength in nanometers (nm).  The second column is the
relative power of Illuminant C at that wavelength.

[Wyszecki1982] Gunter Wyszecki & W. S. Stiles. Color Science: Concepts 
     and Methods, Quantitative Data and Formulae, 2nd ed., John Wiley 
     and Sons, 1982.

DESCRIPTION ENDS HERE
320	0.01
325	0.20
330	0.40
335	1.55
340	2.70
345	4.85
350	7.00
355	9.95
360	12.9
365	17.2
370	21.4
375	27.5
380	33
385	39.92
390	47.4
395	55.17
400	63.3
405	71.81
410	80.6
415	89.53
420	98.1
425	105.8
430	112.4
435	117.75
440	121.5
445	123.45
450	124
455	123.6
460	123.1
465	123.3
470	123.8
475	124.09
480	123.9
485	122.92
490	120.7
495	116.9
500	112.1
505	106.98
510	102.3
515	98.81
520	96.9
525	96.78
530	98
535	99.94
540	102.1
545	103.95
550	105.2
555	105.67
560	105.36
565	104.11
570	102.3
575	100.15
580	97.8
585	95.43
590	93.2
595	91.22
600	89.7
605	88.83
610	88.4
615	88.19
620	88.1
625	88.06
630	88
635	87.86
640	87.8
645	87.99
650	88.2
655	88.2
660	87.9
665	87.22
670	86.3
675	85.3
680	84
685	82.21
690	80.2
695	78.24
700	76.3
705	74.36
710	72.4
715	70.4
720	68.3
725	66.3
730	64.4
735	62.8
740	61.5
745	60.2
750	59.2
755	58.5
760	58.1
765	58.00
770	58.20
