-99	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90
0	10	30	43	56	68	77	79	77	72	65	57	50	40	30	19	8
10	15	30	45	56	64	70	73	73	71	65	57	48	39	30	18	7
20	14	34	49	61	69	74	76	76	74	68	61	51	40	30	19	9
30	35	48	59	68	75	82	84	83	80	75	67	56	45	33	21	10
40	27	40	53	66	79	90	94	93	88	82	72	60	47	35	22	10
50	10	21	34	45	60	75	90	100	102	99	88	75	59	45	30	15
60	4	15	26	37	48	59	70	82	93	103	106	98	85	66	45	23
70	5	15	25	36	46	56	67	76	85	94	102	108	103	82	58	34
80	6	15	24	32	40	48	55	64	72	82	94	105	115	115	83	48
90	4	12	20	28	36	44	53	60	68	75	83	90	98	106	111	90
100	9	16	23	30	37	45	51	58	65	72	80	86	94	100	106	108
110	9	18	27	35	44	52	59	66	74	82	87	92	95	100	96	84
120	4	14	23	32	41	49	57	64	71	78	84	90	94	95	83	50
130	5	18	30	40	48	56	64	70	77	82	85	88	89	84	64	35
140	7	20	32	42	52	60	69	76	82	87	89	90	83	71	54	30
150	7	21	34	45	57	68	75	81	84	84	83	80	72	58	44	20
160	8	24	36	48	58	68	76	82	85	83	78	69	59	49	34	15
170	13	25	36	47	57	65	70	75	76	75	71	65	57	45	30	15
180	10	25	38	48	57	64	69	71	72	69	64	60	51	41	29	16
190	7	19	30	40	48	55	59	62	62	60	55	49	41	32	23	13
200	5	19	29	37	42	45	46	46	45	43	39	35	30	22	14	7
210	0	12	17	26	34	43	49	51	54	50	46	40	32	24	14	4
220	2	12	20	28	35	40	45	48	51	49	45	38	32	23	15	6
230	10	20	29	36	42	46	49	51	52	50	45	39	32	24	15	7
240	8	16	26	34	41	47	49	50	50	47	42	36	29	21	12	4
250	9	21	32	40	49	54	55	55	52	48	43	36	29	21	13	4
260	12	24	34	41	46	51	55	56	51	46	40	33	27	20	13	6
270	14	31	42	50	55	60	60	57	50	45	39	33	26	20	13	6
280	10	29	45	55	60	61	60	57	53	46	40	34	25	18	11	4
290	20	40	60	69	71	69	65	58	50	43	36	29	24	18	12	5
300	30	55	72	81	79	72	64	57	50	42	35	30	24	17	12	5
310	62	76	85	88	85	80	71	62	55	47	41	34	27	20	14	6
320	60	71	79	84	85	86	82	74	66	57	48	40	31	24	16	8
330	20	50	72	86	89	89	86	80	72	63	54	45	36	27	18	9
340	26	49	63	73	82	87	87	83	78	71	62	51	40	28	18	4
350	15	37	52	65	73	79	82	84	79	73	63	53	40	30	17	6
